,Count,Answer,Problem,Option,Rationale,Options,Correct Answer,Annotated Formula,Linear Formula,Category,extracted_answer
2568,2709,b,"shawn invested one half of his savings in a bond that paid simple interest for 2 years and received $ 400 as interest . he invested the remaining in a bond that paid compound interest , interest being compounded annually , for the same 2 years at the same rate of interest and received $ 605 as interest . what was the value of his total savings before investing in these two bonds ?","a ) 3000 , b ) 5000 , c ) 2000 , d ) 4000 , e ) 6000","""so , we know that shawn received 20 % of the amount he invested in a year . we also know that in one year shawn received $ 200 , thus 0.2 x = $ 200 - - > x = $ 1,000 . since , he invested equal sums in his 2 bonds , then his total savings before investing was 2 * $ 1,000 = $ 2,000 . answer : c""","a ) 3000 , b ) 5000 , c ) 2000 , d ) 4000 , e ) 6000",c,"multiply(divide(multiply(divide(400, 2), divide(400, 2)), subtract(605, 400)), 2)","divide(n1,n0)|subtract(n3,n1)|multiply(#0,#0)|divide(#2,#1)|multiply(n0,#3)|",gain,b
2569,2710,"The concentration of water in the mixture after 4 hours would be 52%. So, the answer is d.","a tank is filled to one quarter of its capacity with a mixture consisting of water and sodium chloride . the proportion of sodium chloride in the tank is 40 % by volume and the capacity of the tank is 24 gallons . if the water evaporates from the tank at the rate of 0.5 gallons per hour , and the amount of sodium chloride stays the same , what will be the concentration of water in the mixture in 4 hours ?","a ) 40 % , b ) 44 % , c ) 48 % , d ) 52 % , e ) 56 %","""the number of gallons in the tank is ( 1 / 4 ) 24 = 6 gallons the amount of sodium chloride is 0.4 ( 6 ) = 2.4 gallons at the start , the amount of water is 0.6 ( 6 ) = 3.6 gallons after 4 hours , the amount of water is 3.6 - 0.5 ( 4 ) = 1.6 gallons the concentration of water is 1.6 / ( 2.4 + 1.6 ) = 40 % the answer is a .""","a ) 40 % , b ) 44 % , c ) 48 % , d ) 52 % , e ) 56 %",a,"multiply(divide(subtract(divide(multiply(4, subtract(const_100, 40)), const_100), multiply(0.5, 4)), subtract(4, multiply(0.5, 4))), const_100)","multiply(n2,n3)|subtract(const_100,n0)|multiply(n3,#1)|subtract(n3,#0)|divide(#2,const_100)|subtract(#4,#0)|divide(#5,#3)|multiply(#6,const_100)|",gain,none
2570,2711,"b
",what number has a 5 : 1 ratio to the number 10 ?,"a ) 74 , b ) 50 , c ) 94 , d ) 59 , e ) 48","""answer : option b explanation : 5 : 1 = x : 10 x = 50 answer : option b""","a ) 74 , b ) 50 , c ) 94 , d ) 59 , e ) 48",b,"multiply(10, 5)","multiply(n0,n2)|",other,b
2571,2712,"The speed of the train is 229 km/hr, which corresponds to option a.",a 125 meter long train crosses a man standing on the platform in 5 sec . what is the speed of the train ?,"a ) 229 , b ) 108 , c ) 278 , d ) 126 , e ) 90","""s = 125 / 5 * 18 / 5 = 90 kmph answer : e""","a ) 229 , b ) 108 , c ) 278 , d ) 126 , e ) 90",e,"multiply(divide(125, 5), const_3_6)","divide(n0,n1)|multiply(#0,const_3_6)|",physics,none
2572,2713,b,"excluding stoppages , the speed of a bus is 80 km / hr and including stoppages , it is 70 km / hr . for how many minutes does the bus stop per hour ?","a ) 11 min , b ) 10 min , c ) 8 min , d ) 6 min , e ) 5 min","""due to stoppages , it covers 10 km less . time taken to cover 10 km = 10 / 80 * 60 = 8 min . answer : c""","a ) 11 min , b ) 10 min , c ) 8 min , d ) 6 min , e ) 5 min",c,"multiply(const_60, divide(subtract(80, 70), 80))","subtract(n0,n1)|divide(#0,n0)|multiply(#1,const_60)|",physics,b
2573,2714,d) 11,"a , b and c can do a piece of work in 7 days , 14 days and 28 days respectively . how long will they take to finish the work , if all the three work together ?","a ) 4 , b ) 9 , c ) 2 , d ) 11 , e ) none","""1 / 7 + 1 / 14 + 1 / 28 = 7 / 28 = 1 / 4 all three can finish the work in 4 days answer : a""","a ) 4 , b ) 9 , c ) 2 , d ) 11 , e ) none",a,"inverse(add(inverse(28), add(inverse(7), inverse(14))))","inverse(n0)|inverse(n1)|inverse(n2)|add(#0,#1)|add(#3,#2)|inverse(#4)|",physics,d
2574,2715,c,"in the youth summer village there are 200 people , 100 of them are not working , 75 of them have families and 125 of them like to sing in the shower . what is the largest possible number of people in the village , which are working , that do n ' t have families and that are singing in the shower ?","a ) 125 , b ) 150 , c ) 100 , d ) 130 , e ) 140",total = 200 not working = 100 having family = 75 like to sing in shower = 125 working = 200 - 100 = 100 not having family = 200 - 75 = 125 like to sing in shower = 125 largest possible number is the lowest possible among the above thus 100 c,"a ) 125 , b ) 150 , c ) 100 , d ) 130 , e ) 140",c,"subtract(add(add(100, 75), 125), 200)","add(n1,n2)|add(n3,#0)|subtract(#1,n0)",general,c
2575,2716,d,nitin ranks 18 th in a class of 49 students . what is rank from the last ?,"a ) 33 , b ) 38 , c ) 32 , d ) 28 , e ) 19","""explanation : number students behind the nitin in rank = ( 49 - 18 ) = 31 nitin is 32 nd from the last answer : c ) 32""","a ) 33 , b ) 38 , c ) 32 , d ) 28 , e ) 19",c,"subtract(49, 18)","subtract(n1,n0)|",other,d
2576,2717,b,"lamp a flashes every 6 seconds , lamp b flashes every 8 seconds , lamp c flashes every 10 seconds . at a certain instant of time all 3 lamps flash simultaneously . during the period of 6 minutes after that how many times will exactly two lamps flash ? ( please include any flash of exactly two lights which occurs at the 6 minute mark . )","a ) 24 , b ) 25 , c ) 26 , d ) 27 , e ) 28","6 minutes is 360 seconds . lamp a and lamp b will flash together every 24 seconds . 360 / 24 = 15 . in the time period , lamp a and lamp b will flash together 15 times . lamp a and lamp c will flash together every 30 seconds . 360 / 30 = 12 . in the time period , lamp a and lamp c will flash together 12 times . lamp b and lamp c will flash together every 40 seconds . 360 / 40 = 9 . in the time period , lamp b and lamp c will flash together 9 times . all three lights will flash together every 2 * 2 * 2 * 3 * 5 = 120 seconds . 360 / 120 = 3 . we have counted these triple flashes three times , so we need to subtract three times the number of times that all three lights flash together . the number of times that exactly two lights flash together is 15 + 12 + 9 - 9 = 27 times . the answer is d .","a ) 24 , b ) 25 , c ) 26 , d ) 27 , e ) 28",d,"subtract(add(add(divide(multiply(6, const_60), lcm(6, 8)), divide(multiply(6, const_60), lcm(6, 10))), divide(multiply(6, const_60), lcm(8, 10))), multiply(divide(multiply(6, const_60), lcm(lcm(6, 8), 10)), 3))","lcm(n0,n1)|lcm(n0,n2)|lcm(n1,n2)|multiply(n0,const_60)|divide(#3,#0)|divide(#3,#1)|divide(#3,#2)|lcm(n2,#0)|add(#4,#5)|divide(#3,#7)|add(#8,#6)|multiply(n3,#9)|subtract(#10,#11)",physics,b
2577,2718,b) 616,"when positive integer x is divided by positive integer y , the result is 59.32 . what is the sum q of all possible 2 - digit remainders for x / y ?","a ) 560 , b ) 616 , c ) 672 , d ) 728 , e ) 784","""ans b 616 . . . remainders = . 32 = 32 / 100 = 8 / 25 = 16 / 50 and so on . . so two digit remainders are 16 + 24 + 32 + . . . . + 96 . . q = 8 ( 2 + 3 + 4 . . . . + 12 ) = 616""","a ) 560 , b ) 616 , c ) 672 , d ) 728 , e ) 784",b,"divide(59.32, subtract(2, floor(2)))","floor(n1)|subtract(n1,#0)|divide(n0,#1)|",general,b
2578,2719,"a
",a man walking at a rate of 10 km / hr crosses a bridge in 12 minutes . the length of the bridge is ?,"a ) 2000 , b ) 1492 , c ) 1667 , d ) 1254 , e ) 1112",speed = 10 * 5 / 18 = 50 / 18 m / sec distance covered in 10 minutes = 50 / 18 * 12 * 60 = 2000 m answer is a,"a ) 2000 , b ) 1492 , c ) 1667 , d ) 1254 , e ) 1112",a,"multiply(divide(multiply(10, const_1000), const_60), 12)","multiply(n0,const_1000)|divide(#0,const_60)|multiply(n1,#1)",gain,a
2579,2720,b) 10,there are 1000 students in a school and among them 30 % of them attends chess class . 10 % of the students who are in the chess class are also enrolled for swimming . no other students are interested in swimming so how many will attend the swimming class if all enrolled attends ?,"a ) 1 , b ) 10 , c ) 100 , d ) 30 , e ) 20",30 % of 1000 gives 300 . so 300 attends chess and 10 % of 300 gives 30 . so 30 enrolled for swimming answer : d,"a ) 1 , b ) 10 , c ) 100 , d ) 30 , e ) 20",d,"divide(multiply(divide(multiply(30, 1000), const_100), 10), const_100)","multiply(n0,n1)|divide(#0,const_100)|multiply(n2,#1)|divide(#2,const_100)",gain,b
2580,2721,"The correct answer is d) 92.
","a computer store offers employees a 10 % discount off the retail price . if the store purchased a computer from the manufacturer for $ 800 dollars and marked up the price 10 % to the final retail price , how much would an employee save if he purchased the computer at the employee discount ( 10 % off retail price ) as opposed to the final retail price .","a ) 86 , b ) 88 , c ) 90 , d ) 92 , e ) 94","""cost price = 800 profit = 10 % = 10 % of 800 = 80 selling price = cp + profit sp = 880 a discount of 10 % to employees means 10 % off on 880 so 10 % of 880 = 88 ans b""","a ) 86 , b ) 88 , c ) 90 , d ) 92 , e ) 94",b,"divide(add(divide(multiply(800, 10), const_100), 800), multiply(divide(800, const_100), const_2))","divide(n1,const_100)|multiply(n0,n1)|divide(#1,const_100)|multiply(#0,const_2)|add(n1,#2)|divide(#4,#3)|",gain,d
2581,2722,d,"exactly 15 % of the reporters for a certain wire service cover local politics in country x . if 25 % of the reporters who cover politics for the wire service do not cover local politics in country x , what percent of the reporters for the wire service do not cover politics ?","a ) 20 % , b ) 42 % , c ) 44 % , d ) 80 % , e ) 84 %","""let ' s assume there are 100 reporters - - > 15 reporters cover local politics . now , as 25 % of the reporters who cover all politics do not cover local politics then the rest 75 % of the reporters who cover politics do cover local politics , so if there are x reporters who cover politics then 75 % of them equal to 15 ( # of reporters who cover local politics ) : 0.75 x = 15 - - > x = 20 , hence 20 reporters cover politics and the rest 100 - 20 = 80 reporters do not cover politics at all . answer : d .""","a ) 20 % , b ) 42 % , c ) 44 % , d ) 80 % , e ) 84 %",d,"multiply(subtract(const_1, divide(15, subtract(const_100, 25))), const_100)","subtract(const_100,n1)|divide(n0,#0)|subtract(const_1,#1)|multiply(#2,const_100)|",gain,d
2582,2723,a,two numbers are respectively 50 % and 20 % more than a third number . the percentage that is first of the second is ?,"a ) 125 % , b ) 97 % , c ) 118 % , d ) 52 % , e ) 83 %","""i ii iii 150 120 100 120 - - - - - - - - - - 150 100 - - - - - - - - - - - ? = > 125 % answer : a""","a ) 125 % , b ) 97 % , c ) 118 % , d ) 52 % , e ) 83 %",a,"subtract(const_100, multiply(divide(add(50, const_100), add(20, const_100)), const_100))","add(n0,const_100)|add(n1,const_100)|divide(#0,#1)|multiply(#2,const_100)|subtract(const_100,#3)|",gain,a
2583,2724,a,"of 70 players on a football team , 43 are throwers . the rest of the team is divided so one third are left - handed and the rest are right handed . assuming that all throwers are right handed , how many right - handed players are there total ?","a ) 54 , b ) 59 , c ) 61 , d ) 71 , e ) 92","""total = 70 thrower = 43 rest = 70 - 43 = 27 left handed = 27 / 3 = 9 right handed = 18 if all thrower are right handed then total right handed is 43 + 18 = 61 so c . 61 is the right answer""","a ) 54 , b ) 59 , c ) 61 , d ) 71 , e ) 92",c,"add(multiply(subtract(const_1, divide(const_1, const_3)), subtract(70, 43)), 43)","divide(const_1,const_3)|subtract(n0,n1)|subtract(const_1,#0)|multiply(#2,#1)|add(n1,#3)|",general,a
2584,2725,"d
","in how many seconds will a train 100 meters long pass an oak tree , if the speed of the train is 36 km / hr ?","a ) 6 , b ) 8 , c ) 10 , d ) 12 , e ) 14","""speed = 36 * 5 / 18 = 10 m / s time = 100 / 10 = 10 seconds the answer is c .""","a ) 6 , b ) 8 , c ) 10 , d ) 12 , e ) 14",c,"divide(100, multiply(const_0_2778, 36))","multiply(n1,const_0_2778)|divide(n0,#0)|",physics,d
2585,2726,b,a pair of articles was bought for $ 1000 at a discount of 10 % . what must be the marked price of each of the article ?,"a ) $ 555.55 , b ) $ 500 , c ) $ 350 , d ) $ 400 , e ) $ 600","""s . p . of each of the article = 1000 / 2 = $ 500 let m . p = $ x 90 % of x = 500 x = 500 * 100 / 90 = $ 555.55 answer is a""","a ) $ 555.55 , b ) $ 500 , c ) $ 350 , d ) $ 400 , e ) $ 600",a,"divide(multiply(subtract(const_100, 10), divide(1000, const_2)), const_100)","divide(n0,const_2)|subtract(const_100,n1)|multiply(#0,#1)|divide(#2,const_100)|",gain,b
2586,2727,b,what is 15 % of 2 / 3 of 0.5 ?,"a ) 0.05 , b ) 0.9 , c ) 9 , d ) 90 , e ) none of the above","""the best way to solve these questions is to convert every term into fraction ( 15 / 100 ) * ( 2 / 3 ) * ( 5 / 10 ) = 150 / 3000 = 0.05 option a""","a ) 0.05 , b ) 0.9 , c ) 9 , d ) 90 , e ) none of the above",a,"divide(multiply(15, add(add(multiply(multiply(add(const_3, const_2), const_2), multiply(multiply(const_3, const_4), const_100)), multiply(multiply(add(const_3, const_4), add(const_3, const_2)), multiply(add(const_3, const_2), const_2))), add(const_3, const_3))), const_100)","add(const_2,const_3)|add(const_3,const_4)|add(const_3,const_3)|multiply(const_3,const_4)|multiply(#0,const_2)|multiply(#3,const_100)|multiply(#1,#0)|multiply(#4,#5)|multiply(#6,#4)|add(#7,#8)|add(#9,#2)|multiply(n0,#10)|divide(#11,const_100)|",gain,b
2587,2728,c,the bus fare for two persons for travelling between agra and aligarh id 4 - thirds the train fare between the same places for one person . the total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is rs . 1512 . find the train fare between the two places for one person ?,"a ) rs . 126 , b ) rs . 132 , c ) rs . 120 , d ) rs . 114 , e ) none of these",let the train fare between the two places for one person be rs . t bus fare between the two places for two persons rs . 4 / 3 t = > 6 / 2 ( 4 / 3 t ) + 8 ( t ) = 1512 = > 12 t = 1512 = > t = 126 . answer : a,"a ) rs . 126 , b ) rs . 132 , c ) rs . 120 , d ) rs . 114 , e ) none of these",a,"divide(1512, add(multiply(divide(6, const_2), divide(4, const_3)), 8))","divide(n1,const_2)|divide(n0,const_3)|multiply(#0,#1)|add(n2,#2)|divide(n3,#3)",general,c
2588,2729,"a
","a monkey ascends a greased pole 17 metres high . he ascends 2 metres in first minute and slips down 1 metre in the alternate minute . in which minute , he reaches the top ?","a ) 31 st , b ) 22 nd , c ) 23 rd , d ) 24 th , e ) none of these","""in 2 minutes , he ascends = 1 metre â ˆ ´ 15 metres , he ascends in 30 minutes . â ˆ ´ he reaches the top in 31 st minute . answer a""","a ) 31 st , b ) 22 nd , c ) 23 rd , d ) 24 th , e ) none of these",a,"subtract(multiply(2, 17), 1)","multiply(n0,n1)|subtract(#0,n2)|",physics,a
2589,2730,c,a goods bullet train runs at the speed of 72 km / hr and crosses a 250 m long platform in 26 seconds . what is the length of the goods bullet train ?,"a ) 220 m , b ) 250 m , c ) 280 m , d ) 210 m , e ) 270 m",e 270 m,"a ) 220 m , b ) 250 m , c ) 280 m , d ) 210 m , e ) 270 m",e,"subtract(multiply(multiply(72, const_0_2778), 26), 250)","multiply(n0,const_0_2778)|multiply(n2,#0)|subtract(#1,n1)",physics,c
2590,2731,b,a shopkeeper labeled the price of his articles so as to earn a profit of 40 % on the cost price . he then sold the articles by offering a discount of 10 % on the labeled price . what is the actual percent profit earned in the deal ?,"a ) 26 % , b ) 20 % , c ) 17 % , d ) 18 % , e ) none of these","""explanation : let the cp of the article = rs . 100 . then labeled price = rs . 140 . sp = rs . 140 - 10 % of 140 = rs . 140 - 14 = rs . 126 . gain = rs . 126 â € “ rs . 100 = rs . 26 therefore , gain / profit percent = 26 % . answer : option a""","a ) 26 % , b ) 20 % , c ) 17 % , d ) 18 % , e ) none of these",a,"subtract(subtract(add(const_100, 40), multiply(add(const_100, 40), divide(10, const_100))), const_100)","add(n0,const_100)|divide(n1,const_100)|multiply(#0,#1)|subtract(#0,#2)|subtract(#3,const_100)|",gain,b
2591,2732,b,what is the tens digit of 36 ^ 5 ?,"a ) 1 , b ) 7 , c ) 5 , d ) 3 , e ) 9","""36 ^ 5 = 6 ^ 7 ( 6 ^ 2 ) = 6 * 6 = 36 ( 6 ^ 3 ) = 36 * 6 = . 16 ( 6 ^ 4 ) = . 16 * 6 = . . 96 ( 6 ^ 5 ) = . . 96 * 6 = . . 76 ( 6 ^ 6 ) = . . 76 * 6 = . . . 56 ( 6 ^ 7 ) = . . . . 56 * 6 = . . . . 36 if you see there is a pattern here in tens digits 3 , 1,9 , 7,5 , 3,1 and so on . . . continue the pattern up to 6 ^ 7 ( dont actually calculate full values ) and answer is d : 3""","a ) 1 , b ) 7 , c ) 5 , d ) 3 , e ) 9",d,"floor(divide(reminder(power(36, reminder(5, add(const_4, const_1))), const_100), const_10))","add(const_1,const_4)|reminder(n1,#0)|power(n0,#1)|reminder(#2,const_100)|divide(#3,const_10)|floor(#4)|",general,b
2592,2733,e) 80,evaluate : | 6 - 8 ( 3 - 12 ) | - | 5 - 11 | = ?,"a ) 40 , b ) 50 , c ) 72 , d ) 70 , e ) 80","""according to order of operations , inner brackets first . hence | 6 - 8 ( 3 - 12 ) | - | 5 - 11 | = | 6 - 8 * ( - 9 ) | - | 5 - 11 | according to order of operations , multiplication within absolute value signs ( which may be considered as brackets when it comes to order of operations ) next . hence = | 6 + 72 | - | 5 - 11 | = | 78 | - | - 6 | = 78 - 6 = 72 correct answer c ) 72""","a ) 40 , b ) 50 , c ) 72 , d ) 70 , e ) 80",c,"subtract(subtract(6, multiply(8, subtract(3, 12))), negate(subtract(5, 11)))","subtract(n2,n3)|subtract(n4,n5)|multiply(n1,#0)|negate(#1)|subtract(n0,#2)|subtract(#4,#3)|",general,e
2593,2734,"The simple interest on Rs. 500 for 9 months at 6 paisa per month can be calculated using the formula:

Simple Interest = Principal * Rate * Time / 100

Where:
Principal = Rs. 500
Rate = 6 paisa per month or 0.06 rupees per month
Time = 9 months

Using the formula, we get:

Simple Interest = 500 * 0.06 * 9 / 100
                 = 270/10
                 = Rs. 27

Therefore, the answer is (b) 270.",find the simple interest on rs . 500 for 9 months at 6 paisa per month ?,"a ) 287 , b ) 270 , c ) 276 , d ) 129 , e ) 211","""i = ( 500 * 9 * 6 ) / 100 = 270 answer : b""","a ) 287 , b ) 270 , c ) 276 , d ) 129 , e ) 211",b,"multiply(500, divide(9, const_100))","divide(n1,const_100)|multiply(n0,#0)|",gain,b
2594,2736,a,"on a trip , a cyclist averaged 11 miles per hour for the first 22 miles and 10 miles per hour for the remaining 20 miles . if the cyclist returned immediately via the same route and took a total of 9 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?","a ) 7.6 , b ) 7.8 , c ) 8 , d ) 8.2 , e ) 8.4",the time to go 42 miles was 22 / 11 + 20 / 10 = 2 + 2 = 4 hours . the average speed for the return trip was 42 miles / 5 hours = 8.4 mph . the answer is e .,"a ) 7.6 , b ) 7.8 , c ) 8 , d ) 8.2 , e ) 8.4",e,"divide(add(22, 20), subtract(9, add(divide(22, 11), divide(20, 10))))","add(n1,n3)|divide(n1,n0)|divide(n3,n2)|add(#1,#2)|subtract(n4,#3)|divide(#0,#4)",physics,a
2595,2737,c,"on increasing the number of lines in a page by 100 , they become 240 . what is the % of increase in the no . of lines in the page ?","a ) 20 % , b ) 305 , c ) 50 % , d ) 71.4 % , e ) 60 %","""explanation : number of pages increased = 100 now , the number of pages of book = 240 number of pages of the books before increase = 240 – 100 = 140 % increase in the number of pages in the book = 100 / 140 x 100 % = 71.4 % d""","a ) 20 % , b ) 305 , c ) 50 % , d ) 71.4 % , e ) 60 %",d,"subtract(multiply(divide(240, subtract(240, 100)), const_100), const_100)","subtract(n1,n0)|divide(n1,#0)|multiply(#1,const_100)|subtract(#2,const_100)|",general,c
2596,2738,b,find the sum 3 / 10 + 5 / 100 + 8 / 1000 in decimal form ?,"a ) 0.853 , b ) 0.358 , c ) 3.58 , d ) 8.35 , e ) none",answer 3 / 10 + 5 / 100 + 8 / 1000 = 0.3 + 0.05 + 0.008 = 0.358 correct option : b,"a ) 0.853 , b ) 0.358 , c ) 3.58 , d ) 8.35 , e ) none",b,"add(divide(8, 1000), add(divide(3, 10), divide(5, 100)))","divide(n0,n1)|divide(n2,n3)|divide(n4,n5)|add(#0,#1)|add(#3,#2)",general,b
2597,2739,c,"3 distinct single digit no a , b , c are in g . p . if abs ( x ) for real x is the absolute value of x ( x if x is positive or zero , and x if x is negative ) , then the no . of different possible values of abs ( a + b - c ) is","a ) 6 , b ) 4 , c ) 3 , d ) 5 , e ) 2","if a = 1 , r = 2 then a = 1 , b = 2 , c = 4 then abs ( a + b - c ) = 1 if a = 1 , r = 3 then a = 1 , a = 3 , a = 9 then abs ( 1 + 3 - 9 ) = 5 if a = 2 , r = 2 , then a = 2 , b = 4 , c = 8 then abs ( 2 + 4 - 8 ) = 2 if a = 1 , r = - 2 then a = 1 , b = - 2 , c = 4 the abs ( 1 - 2 - 4 ) = 5 if a = 1 , r = - 3 then a = 1 , b = - 3 , c = 9 then abs ( 1 - 3 - 9 ) = 11 if a = 2 , r = - 2 then a = 2 , b = - 4 , c = - 8 then abs ( 2 - 4 - 8 ) = 10 so total 5 abs ( ) values answer : d","a ) 6 , b ) 4 , c ) 3 , d ) 5 , e ) 2",d,"add(3, const_2)","add(n0,const_2)",general,c
2598,2740,"C) 361
",sum of 19 odd numbers is ?,"a ) 341 , b ) 351 , c ) 361 , d ) 371 , e ) 381","""sum of 1 st n odd no . s = 1 + 3 + 5 + 7 + . . . = n ^ 2 so , sum of 1 st 19 odd numbers = 19 ^ 2 = 361 answer : c""","a ) 341 , b ) 351 , c ) 361 , d ) 371 , e ) 381",c,"multiply(multiply(19, const_2), divide(19, const_2))","divide(n0,const_2)|multiply(n0,const_2)|multiply(#0,#1)|",general,c
2599,2741,"b
",an engine moves at the speed of 90 kmph without any coaches attached to it . speed of the train reduces at the rate that varies directly as the square root of the number of coaches attached . when 9 coaches are attached speed decreases to 78 kmph . what will be the speed of train when 25 coaches are attached .,"a ) 90 , b ) 85 , c ) 80 , d ) 60 , e ) 70","""1 . no . of coaches = 9 sqr root = 3 speed decreases by 12 12 = k * 3 k = 4 no . of coaches = 25 swr root = 5 decrease = 5 * 4 = 20 new speed = 90 - 20 = 70 e""","a ) 90 , b ) 85 , c ) 80 , d ) 60 , e ) 70",e,"subtract(90, multiply(sqrt(25), divide(subtract(90, 78), sqrt(9))))","sqrt(n1)|sqrt(n3)|subtract(n0,n2)|divide(#2,#0)|multiply(#3,#1)|subtract(n0,#4)|",physics,b
2600,2742,"b
",a train passes a man standing on a platform in 8 seconds and also crosses the platform which is 264 metres long in 20 seconds . the length of the train ( in metres ) is :,"a ) 188 , b ) 176 , c ) 175 , d ) 96 , e ) none of these","""explanation : let the length of train be l m . acc . to question ( 264 + l ) / 20 = l / 8 2112 + 8 l = 20 l l = 2112 / 12 = 176 m answer b""","a ) 188 , b ) 176 , c ) 175 , d ) 96 , e ) none of these",b,"multiply(divide(264, subtract(20, 8)), 8)","subtract(n2,n0)|divide(n1,#0)|multiply(n0,#1)|",physics,b
2601,2743,c,"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 10 miles per gallon , and from town b to town c , the car averaged 12 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?","a ) 11.5 , b ) 9.5 , c ) 13.5 , d ) 10.6 , e ) 14.5","""step 1 ) took lcm of 10 and 12 . . came as 30 . just multiplied by 10 . . . ( to make easy calculation ) step 2 ) 300 distance between b to c . . . do 300 / 12 hence 25 gallons used step 3 ) twice distance . . hence 300 * 2 = 600 . . . do as above . . 600 / 10 = 60 gallons used step 4 ) total gallons . . 25 + 60 = 85 gallons step ) total miles = 300 + 600 = 900 miles hence . . average of whole journey = 900 / 85 which comes to 10.6 answer : d""","a ) 11.5 , b ) 9.5 , c ) 13.5 , d ) 10.6 , e ) 14.5",d,"divide(add(multiply(12, const_10), divide(multiply(12, const_10), const_2)), add(divide(multiply(12, const_10), 10), divide(divide(multiply(12, const_10), const_2), 12)))","multiply(n1,const_10)|divide(#0,const_2)|divide(#0,n0)|add(#1,#0)|divide(#1,n1)|add(#2,#4)|divide(#3,#5)|",general,c
2602,2744,c,a shopkeeper buys mangoes at the rate of 4 a rupee and sells them at 3 a rupee . find his net profit or loss percent ?,"a ) 73 1 / 3 % , b ) 13 1 / 3 % , c ) 33 1 / 3 % , d ) 23 1 / 3 % , e ) 93 1 / 3 %","""explanation : the total number of mangoes bought by the shopkeeper be 12 . if he buys 4 a rupee , his cp = 3 he selling at 3 a rupee , his sp = 4 profit = sp - cp = 4 - 3 = 1 profit percent = 1 / 3 * 100 = 33 1 / 3 % answer : c""","a ) 73 1 / 3 % , b ) 13 1 / 3 % , c ) 33 1 / 3 % , d ) 23 1 / 3 % , e ) 93 1 / 3 %",c,"divide(multiply(3, const_100), 4)","multiply(n1,const_100)|divide(#0,n0)|",gain,c
2603,2745,c,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 18 seconds . due to some problem , two boggies were detached . the train now crosses a telegraph post in","a ) 18 sec , b ) 12 sec , c ) 15 sec , d ) 20 sec , e ) none of these","""length of train = 12 × 15 = 180 m . then , speed of train = 180 ⁄ 18 = 10 m / s now , length of train = 10 × 15 = 150 m ∴ required time = 150 ⁄ 10 = 15 sec . answer c""","a ) 18 sec , b ) 12 sec , c ) 15 sec , d ) 20 sec , e ) none of these",c,"divide(subtract(multiply(12, 15), 15), divide(multiply(12, 15), 18))","multiply(n0,n1)|divide(#0,n2)|subtract(#0,n1)|divide(#2,#1)|",physics,c
2604,2746,"c, 7 miles","on sunday , bill ran 4 more miles than he ran on saturday . julia did not run on saturday , but she ran twice the number of miles on sunday that bill ran on sunday . if bill and julia ran a total of 16 miles on saturday and sunday , how many miles did bill run on sunday ?","a ) 5 , b ) 6 , c ) 7 , d ) 8 , e ) 9","""let bill run x on saturday , so he will run x + 4 on sunday . . julia will run 2 * ( x + 4 ) on sunday . . totai = x + x + 4 + 2 x + 8 = 16 . . 4 x + 12 = 16 . . x = 1 . . ans = x + 4 = 1 + 4 = 5 answer a""","a ) 5 , b ) 6 , c ) 7 , d ) 8 , e ) 9",a,"add(divide(subtract(16, add(4, multiply(const_2, 4))), 4), 4)","multiply(n0,const_2)|add(n0,#0)|subtract(n1,#1)|divide(#2,n0)|add(n0,#3)|",general,c
2605,2747,d,"prints a page 40 pg per min . if the printed for 2 hours except 20 min . where there was an paper jam , how many page did it print","a ) 4,000 , b ) 12,880 , c ) 14,880 , d ) 8,880 , e ) 18,880","40 pages - - - - - - - > 1 min 2 hrs except 20 mints means = 2 * 60 = 120 - 20 = 100 mints i . e . , 100 * 40 = 4,000 pages printed . answer : a","a ) 4,000 , b ) 12,880 , c ) 14,880 , d ) 8,880 , e ) 18,880",a,"divide(multiply(subtract(multiply(2, const_60), 20), 40), multiply(const_10, const_100))","multiply(n1,const_60)|multiply(const_10,const_100)|subtract(#0,n2)|multiply(n0,#2)|divide(#3,#1)",general,d
2606,2748,"b
",a train 450 m long is running at a speed of 68 kmph . how long does it take to pass a man who is running at 8 kmph in the same direction as the train ?,"a ) 5 sec , b ) 39 sec , c ) 27 sec , d ) 15 sec , e ) 18 sec","""speed of the train relative to man = ( 68 - 8 ) kmph = ( 60 * 5 / 18 ) m / sec = ( 50 / 3 ) m / sec time taken by the train to cross the man = time taken by it to cover 450 m at 50 / 3 m / sec = 450 * 3 / 50 sec = 27 sec answer : c .""","a ) 5 sec , b ) 39 sec , c ) 27 sec , d ) 15 sec , e ) 18 sec",c,"divide(450, multiply(subtract(68, 8), const_0_2778))","subtract(n1,n2)|multiply(#0,const_0_2778)|divide(n0,#1)|",physics,b
